GHGRP FACILITY ID,year,category,lat,lon
1000001,2010,other,48.828707,-122.685533
1000002,2010,other,40.371053,-85.198134
1000003,2010,other,36.291066,-78.391883
1000005,2010,other,36.92375,-120.10151
1000007,2010,other,35.330083,-106.5275
1000010,2010,other,30.5804,-87.0621
1000015,2010,other,36.143889,-81.163333
1000016,2010,other,35.95458,-80.72108
1000017,2010,other,39.834118,-91.436791
1000019,2010,other,41.85942,-103.633
1000020,2010,other,41.81787,-78.28699
1000021,2010,other,32.543572,-92.766871
1000022,2010,other,29.428586,-94.968558
1000023,2010,other,36.009924,-96.099233
1000024,2010,other,47.551767,-122.337152
1000025,2010,other,30.475803,-91.208107
1000026,2010,other,35.7602,-77.8826
1000027,2010,other,39.94776,-75.19391
1000028,2010,other,38.29372,-90.39969
1000029,2010,other,47.569331,-122.367332
1000030,2010,other,40.913462,-112.734503
1000031,2010,top10_other,33.681904,-112.476438
1000032,2010,other,39.281072,-81.637901
1000034,2010,other,41.626329,-93.583205
1000035,2010,other,40.081111,-84.591667
1000036,2010,other,39.13457,-84.50982
1000037,2010,other,41.5514,-90.2256
1000038,2010,other,46.13672,-118.91564
1000039,2010,other,40.124713,-79.930463
1000040,2010,other,42.424893,-96.514309
1000041,2010,other,43.06138,-87.89162
1000043,2010,other,29.37452,-94.94151
1000045,2010,other,38.75087,-93.326088
1000046,2010,other,33.9541,-117.1168
1000047,2010,other,44.738333,-68.825833
1000049,2010,other,44.1212,-103.2608
1000050,2010,other,44.2862,-105.3843
1000052,2010,other,33.3451,-112.8638
1000053,2010,other,29.703682,-95.396186
1000054,2010,other,30.438668,-84.332457
1000056,2010,other,42.6432,-73.1135
1000059,2010,other,34.6831,-95.9349
1000060,2010,other,39.2038,-103.7005
1000061,2010,other,39.9414,-104.6817
1000062,2010,other,41.7,-78.48
1000063,2010,other,40.585,-98.318889
1000064,2010,other,35.447778,-119.26
1000066,2010,other,37.07479,-120.877445
1000068,2010,other,36.4178,-114.9622
1000069,2010,other,41.4486,-72.8358
1000070,2010,other,34.5953,-117.3647
1000074,2010,other,33.1261,-117.1172
1000076,2010,other,42.1727,-121.8144
1000077,2010,other,42.80166,-78.84166
1000079,2010,other,37.71083,-89.21754
1000084,2010,other,29.7333,-81.6339
1000085,2010,other,34.3387,-82.8207
1000086,2010,other,36.0419,-87.9753
1000087,2010,other,39.1467,-75.5461
1000088,2010,top10_other,38.8856,-77.0244
1000089,2010,other,40.0067,-75.0686
1000090,2010,other,32.771292,-96.96002
1000091,2010,other,41.5269,-72.0631
1000092,2010,other,42.35,-71.0583
1000093,2010,other,42.8158,-73.6728
1000095,2010,other,40.4481,-74.3497
1000098,2010,other,33.0583,-97.9103
1000099,2010,other,39.0,-87.7222
1000100,2010,other,33.4759,-113.1133
1000101,2010,other,42.2728,-73.8492
1000102,2010,other,35.2097,-119.585
1000104,2010,other,41.48346,-82.06112
1000105,2010,other,41.642117,-87.599663
1000106,2010,other,39.5314,-81.7172
1000107,2010,top10_other,28.0525,-81.8083
1000108,2010,other,40.7168,-73.9665
1000109,2010,other,41.4297,-82.2633
1000110,2010,other,27.6417,-81.9625
1000111,2010,other,40.7539,-73.9506
1000112,2010,other,40.663,-74.0
1000113,2010,other,40.6188,-74.069
1000114,2010,other,40.787,-73.2933
1000116,2010,other,40.7989,-73.9147
1000117,2010,other,40.6663,-112.031
1000118,2010,other,47.5444,-95.1297
1000119,2010,other,38.8003,-86.4511
1000120,2010,other,43.1794,-115.7328
1000121,2010,other,39.2798,-75.6246
1000122,2010,top10_other,36.225,-121.1278
1000123,2010,top10_other,39.1365,-121.6397
1000124,2010,other,40.3097,-79.8819
1000125,2010,other,33.38,-89.2091
1000127,2010,top10_other,40.6175,-75.3147
1000128,2010,other,33.9114,-116.5533
1000129,2010,other,33.1189,-82.8608
1000130,2010,other,36.2689,-119.6469
1000131,2010,other,40.6106,-73.7614
1000132,2010,other,40.7864,-73.9133
1000133,2010,top10_other,34.9556,-118.844
1000134,2010,other,40.6278,-80.2389
1000135,2010,other,41.4426,-87.7515
1000136,2010,top10_other,42.5835,-89.0351
1000138,2010,other,39.0913,-84.8667
1000140,2010,other,41.01,-79.72
1000141,2010,top10_other,39.7436,-104.68
1000143,2010,other,35.48447,-97.49865
1000144,2010,other,46.6226,-122.9145
1000145,2010,other,32.3958,-94.4361
1000146,2010,other,40.8011,-75.105
1000147,2010,other,32.5672,-116.9444
1000148,2010,other,39.8668,-77.6859
1000150,2010,other,36.3853,-114.9228
1000151,2010,other,39.3531,-91.2295
1000152,2010,other,34.183,-90.5621
1000153,2010,other,38.5731,-82.7833
1000156,2010,other,41.68,-87.4264
1000157,2010,other,45.7578,-107.6
1000158,2010,other,34.6339,-87.0244
1000159,2010,other,33.4833,-86.9261
1000161,2010,other,40.5083,-122.4253
1000162,2010,other,32.3494,-108.6975
1000163,2010,other,35.1597,-81.4306
1000165,2010,other,40.4172,-86.9117
1000166,2010,other,36.4769,-77.6414
1000168,2010,other,39.5798,-81.6571
1000169,2010,other,38.6996,-88.5392
1000170,2010,other,43.1047,-70.8044
1000171,2010,other,33.2881,-89.4201
1000173,2010,other,42.774,-82.4818
1000174,2010,other,37.1753,-81.9617
1000175,2010,top10_other,37.425,-121.9319
1000176,2010,other,28.76165,-81.738
1000179,2010,other,40.4092,-76.1511
1000180,2010,other,40.3439,-77.1628
1000181,2010,other,32.2363,-108.5494
1000182,2010,other,44.6889,-85.2019
1000183,2010,other,39.3265,-82.9744
1000184,2010,other,32.426944,-96.85
1000185,2010,other,34.4304,-92.8333
1000186,2010,other,39.1756,-84.5022
1000190,2010,other,31.6004,-89.9468
1000191,2010,other,41.258598,-97.037286
1000192,2010,other,38.5583,-90.8361
1000193,2010,other,41.859383,-78.44517
1000196,2010,other,30.60539,-87.322938
1000197,2010,other,37.748,-99.984806
1000198,2010,other,39.94778,-76.76918
1000201,2010,other,35.954053,-83.930007
1000203,2010,other,43.7984,-94.8415
1000205,2010,other,30.50967,-86.49619
1000206,2010,other,41.96763,-71.75379
1000207,2010,other,46.9688,-123.48
1000211,2010,other,45.2958,-93.5542
1000214,2010,other,37.9849,-87.0259
1000215,2010,other,30.83268,-94.92369
1000216,2010,other,21.984865,-159.747301
1000217,2010,top10_other,32.226346,-89.372269
1000218,2010,top10_other,28.487325,-81.651813
1000219,2010,top10_other,43.8298,-91.26
1000222,2010,other,42.167,-83.5318
1000223,2010,other,41.5563,-93.5283
1000228,2010,other,35.2081,-77.1242
1000229,2010,other,35.8628,-76.7831
1000230,2010,other,35.535,-82.8411
1000232,2010,other,36.5192,-82.535
1000233,2010,other,40.3925,-79.8564
1000234,2010,other,35.9069,-79.0617
1000236,2010,other,41.6317,-87.1728
1000237,2010,other,32.9285,-111.5899
1000240,2010,other,32.504129,-82.844859
1000241,2010,other,33.3544,-111.9364
1000243,2010,other,37.216805,-88.879849
1000244,2010,other,43.147,-115.6671
1000245,2010,other,45.993367,-96.648999
1000246,2010,other,39.7281,-84.2103
1000247,2010,other,35.101197,-85.345342
1000248,2010,other,42.4641,-85.6941
1000249,2010,other,43.0751,-89.4251
1000250,2010,other,33.3333,-111.751
1000251,2010,other,39.5611,-80.1642
1000253,2010,other,39.6397,-79.9606
1000254,2010,other,39.7475,-80.8547
1000255,2010,other,29.8169,-95.1086
1000256,2010,other,37.7997,-79.9946
1000258,2010,other,36.6803,-76.9128
1000260,2010,other,40.422,-80.5955
1000261,2010,other,41.7775,-87.8233
1000262,2010,other,32.175,-85.0311
1000263,2010,other,38.1245,-78.2031
1000264,2010,other,40.1083,-88.5986
1000265,2010,other,39.8592,-79.9182
1000267,2010,other,40.7861,-73.2931
1000268,2010,other,40.9572,-72.8664
1000269,2010,other,39.8083,-75.4225
1000270,2010,other,34.6063,-106.732
1000271,2010,top10_other,40.0911,-104.5947
1000272,2010,other,38.3688,-81.6786
1000273,2010,other,37.534,-79.357
1000274,2010,other,39.4968,-84.3901
1000276,2010,other,34.2337,-80.658
1000277,2010,other,32.3592,-81.1236
1000278,2010,other,35.6139,-115.3561
1000279,2010,top10_other,39.1088,-121.6133
1000282,2010,other,37.0467,-88.3506
1000283,2010,other,36.2397,-119.9044
1000284,2010,other,40.3286,-96.8067
1000286,2010,top10_other,42.31133,-87.83397
1000287,2010,other,42.41399,-92.32887
1000288,2010,other,40.6447,-73.5683
1000290,2010,other,43.3064,-73.6208
1000291,2010,other,40.144281,-79.858866
1000293,2010,other,39.7337,-86.1888
1000298,2010,other,31.9842,-89.4131
1000300,2010,top10_other,36.999,-121.5363
1000301,2010,other,47.0864,-122.3644
1000302,2010,other,37.1575,-76.6911
1000303,2010,other,37.4978,-77.368
1000304,2010,other,46.3504,-96.641386
1000305,2010,other,33.3278,-86.3583
1000306,2010,other,39.296237,-76.592889
1000310,2010,other,37.3767,-121.9508
1000311,2010,other,35.2964,-84.7569
1000312,2010,other,36.7743,-76.3119
1000317,2010,other,43.094,-93.2922
1000318,2010,other,37.2914,-77.2821
1000319,2010,other,34.1519,-79.5587
1000322,2010,other,41.1056,-72.3767
1000323,2010,other,38.3383,-121.1239
1000324,2010,other,34.605,-79.785
1000325,2010,top10_other,34.64,-87.0583
1000328,2010,other,34.170552,-103.36991
1000329,2010,other,34.001573,-96.452851
1000334,2010,other,39.8466,-88.9261
1000336,2010,other,41.821484,-87.750206
1000338,2010,other,41.592096,-71.427317
1000342,2010,other,41.412897,-88.329773
1000343,2010,other,41.6439,-88.0467
1000344,2010,other,41.1111,-97.9727
1000345,2010,other,30.069264,-83.526052
1000346,2010,other,29.6225,-95.0458
1000347,2010,other,43.5861,-84.2242
1000348,2010,other,34.8456,-80.8942
1000349,2010,other,28.787739,-81.081861
1000351,2010,other,36.59803,-87.26594
1000353,2010,other,34.387,-80.0663
1000354,2010,other,44.84786,-93.23745
1000356,2010,other,41.085542,-87.880542
1000357,2010,other,40.2469,-103.7756
1000360,2010,other,44.53556,-88.08267
1000362,2010,other,39.9094,-75.1167
1000363,2010,other,47.583604,-117.568511
1000364,2010,other,32.6017,-87.7811
1000370,2010,other,32.933331,-96.583893
1000372,2010,other,33.191973,-97.085008
1000373,2010,other,40.0606,-74.1672
1000375,2010,other,33.0583,-94.844
1000376,2010,other,39.903884,-91.410552
1000377,2010,other,34.735,-87.3108
1000378,2010,other,32.896,-111.7848
1000380,2010,other,42.52457,-83.04225
1000382,2010,other,43.226364,-91.672622
1000383,2010,other,42.36608,-71.08513
1000388,2010,other,41.89142,-70.91059
1000394,2010,other,37.179254,-77.447487
1000395,2010,other,33.6039,-101.8408
1000396,2010,other,40.0008,-83.0158
1000398,2010,top10_other,30.7478,-88.0575
1000399,2010,other,40.411133,-80.40839
1000401,2010,other,35.7433,-84.3208
1000402,2010,other,29.6397,-82.3486
1000403,2010,other,32.83646,-100.44889
1000404,2010,other,36.4078,-114.9603
1000407,2010,other,35.0828,-90.1372
1000408,2010,other,42.2808,-83.7342
1000409,2010,other,42.3049,-85.5783
1000410,2010,other,33.1192,-117.118
1000411,2010,other,40.7234,-84.1133
1000413,2010,other,40.555,-89.6628
1000414,2010,other,41.5131,-94.9189
1000415,2010,other,41.6552,-86.2962
1000417,2010,other,39.5697,-90.4362
1000418,2010,other,41.6133,-87.3281
1000419,2010,other,32.2722,-101.4222
1000420,2010,other,40.6447,-73.5683
1000421,2010,other,44.3204,-88.2089
1000422,2010,other,33.8759,-118.2491
1000423,2010,other,34.0414,-117.3603
1000424,2010,top10_other,44.7855,-93.4315
1000426,2010,other,32.8994,-79.9694
1000427,2010,other,40.795056,-85.825611
1000429,2010,other,39.9889,-75.0417
1000431,2010,other,33.9106,-118.425
1000432,2010,other,43.495,-76.4508
1000434,2010,other,32.5278,-90.772239
1000436,2010,other,39.8223,-111.894
1000437,2010,top10_other,44.1965,-94.0099
1000438,2010,other,37.7315,-121.116
1000444,2010,other,40.0614,-111.7294
1000445,2010,other,43.7519,-87.8783
1000446,2010,other,40.7458,-116.5297
1000447,2010,other,32.8769,-117.1664
1000448,2010,other,42.0269,-93.5828
1000449,2010,other,38.6803,-94.4824
1000450,2010,other,40.8142,-72.9403
1000451,2010,other,45.3718,-98.1032
1000452,2010,top10_other,32.9701,-79.8905
1000453,2010,top10_other,37.0001,-121.5367
1000454,2010,other,40.3311,-111.7547
1000455,2010,other,46.1792,-123.1717
1000456,2010,other,40.7358,-73.3881
1000457,2010,other,34.1788,-118.3153
1000458,2010,other,36.6894,-119.7399
1000459,2010,other,34.9708,-79.9208
1000460,2010,other,32.3478,-81.1828
1000461,2010,other,40.8697,-73.8258
1000462,2010,other,34.8422,-79.7367
1000463,2010,other,36.7164,-108.2153
1000464,2010,other,37.4878,-120.8956
1000465,2010,other,44.2911,-105.3815
1000467,2010,other,40.7881,-73.9056
1000468,2010,other,45.601,-93.2081
1000470,2010,other,32.9748,-102.7432
1000471,2010,other,33.9636,-117.4528
1000472,2010,other,33.6968,-95.5577
1000473,2010,other,42.5129,-90.6818
1000475,2010,other,39.8725,-77.1672
1000477,2010,other,45.722949,-108.543015
1000478,2010,other,35.3071,-106.6228
1000481,2010,other,31.8414,-102.315
1000482,2010,other,44.0361,-75.7712
1000483,2010,other,29.2878,-96.0683
1000484,2010,other,41.2033,-76.0683
1000485,2010,other,38.7926,-121.3823
1000486,2010,other,40.0914,-104.8819
1000487,2010,other,36.1855,-94.2841
1000488,2010,other,44.5364,-92.9147
1000489,2010,other,35.0361,-114.1594
1000490,2010,other,33.7641,-118.2248
1000491,2010,other,42.8445,-87.829
1000493,2010,other,35.8481,-90.7257
1000498,2010,other,41.1141,-94.3499
1000504,2010,top10_other,29.3787,-94.944
1000507,2010,other,35.9515,-120.8679
1000510,2010,top10_other,44.8864,-91.5158
1000513,2010,other,30.2861,-93.2917
1000520,2010,other,41.6722,-93.6769
1000521,2010,other,42.4407,-92.4205
1000522,2010,other,41.33578,-96.1119
1000528,2010,other,44.2892,-105.3795
1000529,2010,other,29.5808,-90.7222
1000530,2010,other,30.3039,-94.2527
1000531,2010,other,30.42,-95.0114
1000533,2010,other,29.9616,-82.8497
1000534,2010,other,44.217,-86.2906
1000535,2010,other,31.2194,-89.3933
1000536,2010,other,43.883285,-91.162154
1000538,2010,other,41.5444,-73.0416
1000539,2010,other,35.6626,-89.9469
1000540,2010,other,31.7569,-106.375
1000541,2010,other,33.2432,-115.498
1000542,2010,other,30.0253,-96.9945
1000545,2010,other,36.654,-120.5797
1000546,2010,other,36.6513,-120.5833
1000547,2010,other,29.752,-94.923
1000548,2010,other,33.359,-117.111
1000557,2010,other,37.762505,-122.456385
1000559,2010,other,40.0979,-104.7745
1000563,2010,other,48.2104,-104.3919
1000564,2010,other,37.1006,-76.39072
1000567,2010,other,40.76,-73.75
1000570,2010,other,29.3078,-98.3244
1000580,2010,other,42.336667,-71.108333
1000581,2010,other,39.2825,-96.1153
1000582,2010,other,39.0072,-95.2692
1000583,2010,other,38.4464,-96.0651
1000584,2010,other,38.0906,-97.8747
1000586,2010,other,35.7422,-97.655
1000588,2010,other,41.651165,-87.459167
1000589,2010,other,44.49367,-88.029916
