GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE,Facility Id,Latitude,Longitude,_source_sheet,owner
1000011.0,110000807379.0,2023.0,Central Hudson Gas and Electric Corporation,284 South Avenue,Poughkeepsie,NY,12601,DUTCHESS COUNTY,CENTRAL HUDSON GAS & ELECTRIC CORP,284 South Avenue,Poughkeepsie,NY,12601,100.0,221122.0,1000011,41.690648,-73.931605,LDC - Direct Emissions,other
1000054.0,110071160313.0,2023.0,City of Tallahassee Natural Gas Utility,2602 Jackson Bluff Road,Tallahassee,FL,32304,LEON COUNTY,CITY OF TALLAHASSEE FLORIDA,300 South Adams Street,Tallahassee,FL,32301,100.0,221210.0,1000054,30.438668,-84.332457,LDC - Direct Emissions,other
1000064.0,110000516834.0,2023.0,LONE STAR GAS LIQUIDS,19430 BEECH AVENUE,SHAFTER,CA,93263,KERN COUNTY,PLAINS GP HOLDINGS LP,"333 Clay Street, Ste. 1600",Houston,TX,77002,100.0,211130.0,1000064,35.447778,-119.26,Direct Point Emitters,other
1000091.0,110071159598.0,2023.0,Norwich,16 S GOLDEN ST,NORWICH,CT,6360,New London,CITY OF NORWICH CONNECTICUT,16 South Golden St,Norwich,CT,06360,100.0,221210.0,1000091,41.5269,-72.0631,LDC - Direct Emissions,other
1000205.0,110071161799.0,2023.0,Okaloosa Gas District,364 Valparaiso Pkwy,Valparaiso,FL,32580,OKALOOSA COUNTY,OKALOOSA GAS DISTRICT,364 Valparaiso Pky,Valparaiso,FL,32580,100.0,221210.0,1000205,30.50967,-86.49619,LDC - Direct Emissions,other
1000355.0,,2023.0,(540) Civitas Resources - Denver Basin,555 17th St. Suite 3700,Denver,CO,80202,,CIVITAS RESOURCES INC,555 17TH Street Suite 3700,Denver,CO,80202,100.0,211120.0,1000355,39.74431,-104.98858,Onshore Oil & Gas Prod.,other
1000388.0,110071160900.0,2023.0,Middleborough Gas & Electric Department,32 South Main St.,Middleborough,MA,2346,PLYMOUTH COUNTY,TOWN OF MIDDLEBOROUGH MASSACHUSETTS,32 South Main Street,Middleborough,MA,02346,100.0,221210.0,1000388,41.89142,-70.91059,LDC - Direct Emissions,other
1000435.0,,2023.0,Merit Energy Co. South Texas 220 Gulf Coast Basin,"13727 Noel Road, Suite 1200",Dallas,TX,75240,,MERIT ENERGY CO LLC,"13727 Noel Road, Suite 500",Dallas,TX,75240,100.0,211130.0,1000435,26.19857,-98.22361,Onshore Oil & Gas Prod.,other
1000600.0,110071160542.0,2023.0,UNS Gas,"2901 W. Shamrell Blvd., Suite 110",Flagstaff,AZ,86001,COCONINO COUNTY,UNS ENERGY CORP,88 East Broadway Blvd.,Tucson,AZ,85701,100.0,221210.0,1000600,35.13778,-111.68052,LDC - Direct Emissions,other
1001088.0,110071159558.0,2023.0,Energy Services of Pensacola,1625 Atwood Dr,Pensacola,FL,32514,ESCAMBIA COUNTY,CITY OF PENSACOLA FLORIDA,1625 Atwood Dr,Pensacola,FL,32514,100.0,221210.0,1001088,30.50515,-87.22575,LDC - Direct Emissions,other
