GHGRP FACILITY ID,PRIMARY_OPERATOR
1000001.0,PUGET HOLDINGS LLC
1000002.0,ARDAGH GLASS INC
1000003.0,ARDAGH GLASS INC
1000005.0,ARDAGH GLASS INC
1000007.0,EAGLE MATERIALS INC
1000008.0,ST LAWRENCE GAS CO
1000010.0,SANTA ROSA BOARD OF COUNTY COMMISSIONERS
1000011.0,CENTRAL HUDSON GAS & ELECTRIC CORP
1000015.0,TYSON FOODS INC
1000016.0,TYSON FOODS INC
1000017.0,BASF CORP
1000019.0,THE WESTERN SUGAR COOPERATIVE
1000020.0,Ardagh Group Inc
1000021.0,ARDAGH GLASS INC
1000022.0,ASHLAND GLOBAL HOLDINGS INC
1000023.0,ARDAGH GLASS INC
1000024.0,ARDAGH GLASS INC
1000025.0,THE WILLIAM HERBERT HUNT TRUST ESTATE
1000026.0,ARDAGH GLASS INC
1000027.0,THE CHILDREN'S HOSPITAL OF PHILADELPHIA
1000028.0,ARDAGH GLASS INC
1000029.0,NUCOR CORP
1000030.0,THE RENCO GROUP INC
1000031.0,WASTE MANAGEMENT INC
1000032.0,KRATON CORP
1000034.0,ARCHER DANIELS MIDLAND CO
1000035.0,THE ANDERSONS INC
1000036.0,UNIVERSITY OF CINCINNATI
1000037.0,TYSON FOODS INC
1000038.0,TYSON FOODS INC
1000039.0,GENERAL ELECTRIC CO
1000040.0,TYSON FOODS INC
1000041.0,GREIF INC
1000042.0,ECOVYST INC
1000043.0,LINDE GAS NORTH AMERICA LLC
1000044.0,ECOVYST INC
1000045.0,TYSON FOODS INC
1000046.0,COUNTY OF RIVERSIDE CALIFORNIA
1000047.0,TOWN OF SEARSPORT MAINE
1000048.0,ALLISON TRANSMISSION HOLDINGS INC
1000049.0,BLACK HILLS CORP
1000050.0,BLACK HILLS CORP
1000051.0,MITSUBISHI CORP (AMERICAS)
1000052.0,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT
1000053.0,TEXAS MEDICAL CENTER CENTRAL HEATING & COOLING SERVICES CORP
1000054.0,CITY OF TALLAHASSEE FLORIDA
1000056.0,MINERALS TECHNOLOGIES INC
1000059.0,KIOWA POWER PARTNERS LLC
1000060.0,TRI-STATE GENERATION & TRANSMISSION ASSOC INC
1000061.0,TRI-STATE GENERATION & TRANSMISSION ASSOC INC
1000062.0,KOCH INDUSTRIES INC
1000063.0,CHIEF INDUSTRIES INC
1000064.0,PLAINS GP HOLDINGS LP
1000066.0,INGOMAR PACKING CO
1000068.0,SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY
1000069.0,"LS Power Development, LLC"
1000070.0,MIDDLE RIVER POWER LLC
1000071.0,CPN MANAGEMENT LP
1000073.0,CORINTH UTILITIES COMMISSION
1000074.0,WELLHEAD ELECTRIC CO
1000076.0,AVANGRID INC
1000077.0,REPUBLIC STEEL
1000079.0,SOUTHERN ILLINOIS UNIVERSITY SYSTEM
1000083.0,CITY OF GAINESVILLE FLORIDA
1000084.0,SEMINOLE ELECTRIC COOPERATIVE INC
1000085.0,OGLETHORPE POWER CORP
1000086.0,THE CHEMOURS CO
1000087.0,DCO ENERGY LLC
1000088.0,US GOVERNMENT
1000089.0,ADVANSIX INC
1000090.0,CITY OF GRAND PRAIRIE TEXAS
1000091.0,CITY OF NORWICH CONNECTICUT
1000092.0,VICINITY ENERGY INC
1000093.0,MOM HOLDING CO
1000094.0,NATURAL GAS PROCESSING CO
1000095.0,RED OAK POWER LLC
1000097.0,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT
1000098.0,Vistra Corp
1000099.0,MARATHON PETROLEUM CORP
1000100.0,NEW HARQUAHALA GENERATING CO LLC
1000101.0,NEW ATHENS GENERATING CO LLC
1000102.0,Hull Street Energy
1000104.0,FORD MOTOR CO
1000105.0,ARDAGH GLASS INC
1000106.0,LIGHTSTONE GENERATION LLC
1000107.0,DUKE ENERGY CORP
1000108.0,NEW YORK POWER AUTHORITY
1000109.0,EDGEWATER GENERATION HOLDINGS LLC
1000110.0,SEMINOLE ELECTRIC COOPERATIVE INC
1000111.0,NEW YORK POWER AUTHORITY
1000112.0,NEW YORK POWER AUTHORITY
1000113.0,NEW YORK POWER AUTHORITY
1000114.0,NEW YORK POWER AUTHORITY
1000116.0,NEW YORK POWER AUTHORITY
1000117.0,UTAH MUNICIPAL POWER AGENCY (INC)
1000118.0,OTTER TAIL CORP
1000119.0,HOOSIER ENERGY REC INC
1000120.0,IDACORP INC
1000121.0,DELAWARE MUNICIPAL ELECTRIC COORPORATION
1000122.0,CPN MANAGEMENT LP
1000123.0,CPN MANAGEMENT LP
1000124.0,US STEEL CORP
1000125.0,US GOVERNMENT
1000127.0,CPN MANAGEMENT LP
1000128.0,MITSUBISHI CORP (AMERICAS)
1000129.0,AL SANDERSVILLE LLC
1000130.0,MIDDLE RIVER POWER LLC
1000131.0,MPH ROCKAWAY PEAKERS HOLDCO LLC
1000132.0,NRG ENERGY INC
1000133.0,CPN MANAGEMENT LP
1000134.0,USG CORP
1000135.0,"LS Power Development, LLC"
1000136.0,Adams-Columbia Electric Cooperative
1000137.0,ST CROIX VALLEY NATURAL GAS CO INC
1000138.0,LIGHTSTONE GENERATION LLC
1000140.0,HF SINCLAIR CORP
1000141.0,XCEL ENERGY INC
1000143.0,UNIVERSITY OF OKLAHOMA
1000144.0,BERKSHIRE HATHAWAY INC
1000145.0,NORTHEAST TEXAS ELECTRIC COOPERATIVE INC
1000146.0,TALEN ENERGY CORP
1000147.0,MITSUBISHI CORP (AMERICAS)
1000148.0,"LS Power Development, LLC"
1000150.0,BERKSHIRE HATHAWAY INC
1000151.0,AMEREN CORP
1000152.0,CLARKSDALE PUBLIC UTILITIES COMMISSION
1000153.0,Vistra Corp
1000156.0,CLEVELAND-CLIFFS INC
1000157.0,HEOROT POWER HOLDINGS LLC
1000158.0,ASCEND PERFORMANCE MATERIALS HOLDINGS INC
1000159.0,US STEEL CORP
1000161.0,CITY OF REDDING CALIFORNIA
1000162.0,PNM RESOURCES INC
1000163.0,DUKE ENERGY CORP
1000165.0,STATE OF INDIANA
1000166.0,WESTROCK CO
1000168.0,Vistra Corp
1000169.0,AMEREN CORP
1000170.0,ESSENTIAL POWER LLC
1000171.0,ENTERGY CORP
1000173.0,DTE ENERGY CO
1000174.0,"LS Power Development, LLC"
1000175.0,CPN MANAGEMENT LP
1000176.0,Lake County Board of County Commissioners
1000179.0,Enbridge (US) Inc
1000180.0,Enbridge (US) Inc
1000181.0,TRI-STATE GENERATION & TRANSMISSION ASSOC INC
1000182.0,MICHIGAN PUBLIC POWER AGENCY
1000183.0,PIXELLE SPECIALTY SOLUTIONS LLC
1000184.0,DART CONTAINER CORP
1000185.0,ARKANSAS ELECTRIC COOPERATIVE CORP
1000186.0,THE PROCTER & GAMBLE CO
1000190.0,COOPERATIVE ENERGY A MISSISSIPPI ELECTRIC COOPERATIVE
1000191.0,WASTE CONNECTIONS US INC
1000192.0,AMEREN CORP
1000193.0,THE INTERNATIONAL GROUP INC
1000196.0,INTERNATIONAL PAPER CO
1000197.0,NBM US HOLDINGS INC
1000198.0,LEHIGH WHITE CEMENT CO LLC
1000201.0,UNIVERSITY OF TENNESSEE
1000203.0,GREAT RIVER ENERGY
1000205.0,OKALOOSA GAS DISTRICT
1000206.0,Enbridge (US) Inc
1000207.0,INVENERGY LLC
1000211.0,GREAT RIVER ENERGY
1000213.0,DENBURY INC
1000214.0,CLEVELAND-CLIFFS INC
1000215.0,POLK COUNTY AUTHORIZED AGENT
1000216.0,COUNTY OF KAUAI HAWAII
1000217.0,WASTE MANAGEMENT INC
1000218.0,WASTE MANAGEMENT INC
1000219.0,XCEL ENERGY INC
1000222.0,WOLVERINE POWER SUPPLY COOPERATIVE INC
1000223.0,BERKSHIRE HATHAWAY INC
1000228.0,INTERNATIONAL PAPER CO
1000229.0,DOMTAR CORP
1000230.0,EVERGREEN PACKAGING GROUP HOLDINGS INC
1000232.0,Eastman Chemical Co
1000233.0,US STEEL CORP
1000234.0,STATE OF NORTH CAROLINA
1000236.0,PERC HOLDINGS 1 LLC
1000237.0,PINNACLE WEST CAPITAL CORP
1000240.0,WESTROCK CO
1000241.0,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT
1000243.0,HOLCIM PARTICIPATIONS (US) INC
1000244.0,IDACORP INC
1000245.0,Enbridge (US) Inc
1000246.0,ROCKLAND POWER PARTNERS II LP
1000247.0,RC LONESTAR INC
1000248.0,USG CORP
1000249.0,MGE ENERGY INC
1000250.0,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT
1000251.0,AMERICAN BITUMINOUS POWER PARTNERS LP
1000253.0,VICINITY ENERGY INC
1000254.0,WESTLAKE CHEMICAL CORP
1000255.0,ODYSSEY ENERGY ALTURA COGEN LLC
1000256.0,WESTROCK CO
1000258.0,INTERNATIONAL PAPER CO
1000260.0,CLEVELAND-CLIFFS INC
1000261.0,INGREDION INC
1000262.0,WESTROCK CO
1000263.0,DOMINION ENERGY INC
1000264.0,AMEREN CORP
1000265.0,Vistra Corp
1000267.0,J POWER USA DEVELOPMENT CO LTD
1000268.0,J POWER USA DEVELOPMENT CO LTD
1000269.0,JERA ENERGY AMERICA LLC
1000270.0,SOUTHWEST GENERATION OPERATING CO LLC
