GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE,Facility Id,Latitude,Longitude,_source_sheet,owner
1000025.0,110000449863.0,2023.0,PLACID REFINING CO LLC - PORT ALLEN REFINERY,"1940 LA HWY 1, NORTH",PORT ALLEN,LA,70767,WEST BATON ROUGE PARISH,THE WILLIAM HERBERT HUNT TRUST ESTATE,"1601 Elm Street, Suite 3900",Dallas,TX,75201,100.0,324110.0,1000025,30.475803,-91.208107,Direct Point Emitters,other
1000099.0,110070828211.0,2023.0,Robinson Refinery,400 S. Marathon Avenue,Robinson,IL,62454,Crawford,MARATHON PETROLEUM CORP,539 South Main Street,Findlay,OH,45840,100.0,324110.0,1000099,39.0,-87.7222,Direct Point Emitters,MARATHON PETROLEUM CORP
1000343.0,110000595348.0,2023.0,Lemont Refinery,135TH STREET AND NEW AVENUE,LEMONT,IL,60439,Will,PDV AMERICA INC,1293 Eldridge Parkway,Houston,TX,77077,100.0,324110.0,1000343,41.6439,-88.0467,Direct Point Emitters,other
1000411.0,110000395475.0,2023.0,Lima Refinery,1150 SOUTH METCALF STREET,LIMA,OH,45804,Allen,LIMA REFINING CO,1150 South Metcalf Street,Lima,OH,45804,100.0,324110.0,1000411,40.7234,-84.1133,Direct Point Emitters,other
1001056.0,110010534261.0,2023.0,Toledo Refining Company,1819 WOODVILLE RD.,OREGON,OH,43616,LUCAS COUNTY,PBF ENERGY INC,"1 Sylvan Way, Suite 2",Parsippany,NJ,07054,100.0,561210.0,1001056,41.6295,-83.4965,Direct Point Emitters,PBF ENERGY INC
1001804.0,110000483245.0,2023.0,MARTINEZ REFINING COMPANY LLC,3485 PACHECO BLVD,MARTINEZ,CA,94553,CONTRA COSTA COUNTY,PBF ENERGY INC,"1 Sylvan Way, Suite 2",Parsippany,NJ,07054,100.0,324110.0,1001804,38.016594,-122.115392,Direct Point Emitters,PBF ENERGY INC
1001824.0,110064365690.0,2023.0,"Harvest Louisiana Terminals, LLC - Alliance Terminal",15551 HIGHWAY 23 SOUTH,BELLE CHASSE,LA,70037,PLAQUEMINES PARISH,HARVEST MIDSTREAM CO,1111 Travis Street,Houston,TX,77002,100.0,324110.0,1001824,29.684887,-89.97613,Direct Point Emitters,other
1001920.0,110015682830.0,2023.0,Phillips 66 Ponca City Refinery,1000 South Pine,Ponca City,OK,74601,KAY COUNTY,PHILLIPS 66,2331 Citywest Blvd,Houston,TX,77042,100.0,324110.0,1001920,36.6821,-97.0895,Direct Point Emitters,PHILLIPS 66
1001964.0,110038102969.0,2023.0,Phillips 66 Los Angeles Refinery - Carson Plant,1520 EAST SEPULVEDA BOULEVARD,CARSON,CA,90745,LOS ANGELES COUNTY,PHILLIPS 66,2331 Citywest Blvd,Houston,TX,77042,100.0,324110.0,1001964,33.808333,-118.245833,Direct Point Emitters,PHILLIPS 66
1002026.0,110000454981.0,2023.0,HF SINCLAIR TULSA REFINING LLC - WEST,1700 SOUTH UNION STREET,TULSA,OK,74107,TULSA COUNTY,HF SINCLAIR CORP,"2828 N. Harwood, Suite 1300",Dallas,TX,75201,100.0,324110.0,1002026,36.1396,-96.0149,Direct Point Emitters,HF SINCLAIR CORP
1002027.0,110043813816.0,2023.0,"St. Paul Park Refining Company, LLC",301 St. Paul Park Road,St. Paul Park,MN,55071,WASHINGTON COUNTY,MARATHON PETROLEUM CORP,539 South Main Street,Findlay,OH,45840,100.0,324110.0,1002027,44.850583,-93.002139,Direct Point Emitters,MARATHON PETROLEUM CORP
1002028.0,110000494983.0,2023.0,HF SINCLAIR TULSA REFINING LLC - EAST,902 WEST 25TH STREET,TULSA,OK,74107,TULSA COUNTY,HF SINCLAIR CORP,"2828 N Harwood, Suite 1300",Dallas,TX,75201,100.0,324110.0,1002028,36.1184,-96.0011,Direct Point Emitters,HF SINCLAIR CORP
1002103.0,110000321189.0,2023.0,CPI Operations LLC,4 PARADISE RD.,PAULSBORO,NJ,8066,GLOUCESTER COUNTY,AXEON SPECIALTY PRODUCTS,4 Paradise Rd,Paulsboro,NJ,08066-1740,100.0,324121.0,1002103,39.840932,-75.226205,Direct Point Emitters,other
1002261.0,110017407153.0,2023.0,TRICOR REFINING LLC,1134 Manor Street,BAKERSFIELD,CA,93308,KERN COUNTY,ERGON INC,"2829 Lakeland Drive, Suite 2000",Flowood,MS,39232,50.0,324110.0,1002261,35.4185,-119.0112,Direct Point Emitters,other
1002286.0,110001187144.0,2023.0,LUNDAY-THAGARD COMPANY,9301 SOUTH GARFIELD AVENUE,SOUTH GATE,CA,90280,LOS ANGELES COUNTY,WORLD OIL CORP,9302 Garfield Avenue,South Gate,CA,90280,100.0,324110.0,1002286,33.946295,-118.16704,Direct Point Emitters,other
1002310.0,110000453697.0,2023.0,WYNNEWOOD REFINING CO,906 S. POWELL,WYNNEWOOD,OK,73098,GARVIN COUNTY,G HOLDINGS LLC,1 Campus Drive,Parsippany,NJ,07054,100.0,324110.0,1002310,34.6289,-97.1685,Direct Point Emitters,other
