year,total_facilities,total_parents,top10_share_pct,top10_facilities_sum,top10_names,top10_counts
2010,6668,3854,11.667666466706658,779,"['Waste Management, Inc.', 'Republic Services, Inc.', 'Calpine Corporation', 'U.S. Government', 'ConocoPhillips', 'Anadarko Petroleum Corporation', 'El Paso Corporation', 'Xcel Energy, Inc.', 'The Williams Companies, Inc.', 'BP America Inc.']","[226, 184, 63, 57, 51, 44, 41, 38, 38, 37]"
2011,7989,4119,9.375391162848917,815,"['Waste Management, Inc.', 'Republic Services, Inc.', 'CONOCO PHILLIPS', 'EL PASO CORP', 'CALPINE CORP', 'CHEVRON CORP', 'DOMINION RESOURCES INC', 'SPECTRA ENERGY CORP', 'Williams Field Services Group, LLC', 'BP AMERICA INC']","[208, 171, 75, 74, 62, 47, 47, 46, 43, 42]"
2012,8398,4397,10.03810431055013,852,"['Waste Management, Inc.', 'Republic Services, Inc.', 'ENERGY TRANSFER PARTNERS, LP', 'CALPINE CORP', 'EXXONMOBIL CORP', 'Kinder Morgan Energy Partners, L.P.', 'DUKE ENERGY CORP', 'CHEVRON CORP', 'Williams Field Services Group, LLC', 'DOMINION RESOURCES INC']","[235, 160, 74, 61, 60, 56, 56, 53, 49, 48]"
2013,8496,4455,10.769774011299434,915,"['Waste Management, Inc.', 'Republic Services, Inc.', 'WILLIAMS PARTNERS, LP', 'ENERGY TRANSFER PARTNERS, LP', 'Kinder Morgan Energy Partners, L.P.', 'EXXONMOBIL CORP', 'US GOVERNMENT', 'CALPINE CORP', 'DUKE ENERGY CORP', 'KOCH INDUSTRIES INC']","[233, 138, 94, 79, 69, 65, 65, 61, 56, 55]"
2014,8731,4506,11.797045012026114,1039,"['WASTE MANAGEMENT INC', 'REPUBLIC SERVICES, INC', 'EXXONMOBIL CORP', 'WILLIAMS PARTNERS, LP', 'ENERGY TRANSFER PARTNERS, LP', 'Kinder Morgan Energy Partners, L.P.', 'ANADARKO PETROLEUM CORP', 'US GOVERNMENT', 'CHEVRON CORP', 'CALPINE CORP']","[231, 178, 112, 108, 84, 71, 69, 66, 63, 57]"
2015,8587,3495,13.578665424478864,1190,"['WASTE MANAGEMENT INC', 'REPUBLIC SERVICES INC', 'KINDER MORGAN INC', 'WILLIAMS PARTNERS, LP', 'CHEVRON CORP', 'US GOVERNMENT', 'ENERGY TRANSFER PARTNERS LP', 'EXXON MOBIL CORP', 'KOCH INDUSTRIES INC', 'MARATHON PETROLEUM CO LP']","[221, 169, 160, 135, 94, 91, 87, 84, 76, 73]"
2016,8216,3383,13.984907497565725,1181,"['WASTE MANAGEMENT INC', 'KINDER MORGAN INC', 'REPUBLIC SERVICES INC', 'EXXONMOBIL CORP', 'ENERGY TRANSFER PARTNERS LP', 'US GOVERNMENT', 'KOCH INDUSTRIES INC', 'WILLIAMS PARTNERS, LP', 'CHEVRON CORP', 'NRG ENERGY INC']","[216, 210, 168, 106, 106, 88, 75, 73, 73, 66]"
2017,8142,3360,13.976909850159666,1170,"['KINDER MORGAN INC', 'WASTE MANAGEMENT INC', 'REPUBLIC SERVICES INC', 'ENERGY TRANSFER PARTNERS LP', 'EXXONMOBIL CORP', 'US GOVERNMENT', 'KOCH INDUSTRIES INC', 'WILLIAMS PARTNERS LP', 'NRG ENERGY INC', 'CHEVRON CORP']","[216, 214, 168, 107, 104, 86, 78, 72, 63, 62]"
2018,8268,3527,13.969521044992742,1175,"['KINDER MORGAN INC', 'WASTE MANAGEMENT INC', 'REPUBLIC SERVICES INC', 'ENERGY TRANSFER PARTNERS LP', 'EXXONMOBIL CORP', 'US GOVERNMENT', 'KOCH INDUSTRIES INC', 'THE WILLIAMS COS', 'ENTERPRISE PRODUCTS PARTNERS LP', 'DOMINION ENERGY INC']","[217, 213, 169, 114, 97, 86, 78, 74, 65, 62]"
2019,8282,3402,14.803187635836755,1250,"['KINDER MORGAN INC', 'WASTE MANAGEMENT INC', 'REPUBLIC SERVICES INC', 'ENERGY TRANSFER LP', 'EXXON MOBIL CORP', 'BERKSHIRE HATHAWAY INC', 'US GOVERNMENT', 'THE WILLIAMS COS INC', 'ENTERPRISE PRODUCTS PARTNERS LP', 'KOCH INDUSTRIES INC']","[229, 212, 165, 140, 100, 97, 86, 76, 73, 72]"
